#     t                x                y                z                vx               vy               vz               m
      2.81990224       0.90897589       0.42409570      -0.01441192      -0.22883321       1.07995279       0.02714452       0.71709857 
      2.83490172       0.90544257       0.44024668      -0.01400317      -0.24223828       1.07356705       0.02735446       0.71709857 
      2.84990120       0.90171006       0.45630080      -0.01359135      -0.25544098       1.06701757       0.02755607       0.71709857 
      2.86490068       0.89778136       0.47225567      -0.01317658      -0.26844054       1.06031063       0.02774946       0.71709857 
      2.87990016       0.89365836       0.48810836      -0.01275895      -0.28123513       1.05345147       0.02793469       0.71709857 
      2.89489964       0.88934496       0.50385704      -0.01233859      -0.29382521       1.04644684       0.02811191       0.71709857 
      2.90989912       0.88484457       0.51949978      -0.01191565      -0.30621093       1.03930297       0.02828123       0.71709857 
      2.92489860       0.88016025       0.53503455      -0.01149023      -0.31839226       1.03202569       0.02844278       0.71709857 
      2.93989808       0.87529486       0.55045928      -0.01106244      -0.33036906       1.02462061       0.02859666       0.71709857 
      2.95489756       0.87025045       0.56577142      -0.01063239      -0.34214042       1.01709266       0.02874296       0.71709857 
      2.96989704       0.86503132       0.58096995      -0.01020021      -0.35370814       1.00944824       0.02888183       0.71709857 
      2.98489652       0.85964048       0.59605319      -0.00976601      -0.36507276       1.00169271       0.02901341       0.71709857 
      2.99989600       0.85408100       0.61101950      -0.00932988      -0.37623495       0.99383135       0.02913781       0.71709857 
      3.01489547       0.84835522       0.62586685      -0.00889194      -0.38719470       0.98586890       0.02925512       0.71709857 
      3.02989495       0.84246620       0.64059378      -0.00845229      -0.39795295       0.97781045       0.02936547       0.71709857 
      3.04489443       0.83641759       0.65519936      -0.00801104      -0.40851149       0.96966131       0.02946901       0.71709857 
      3.05989391       0.83021237       0.66968226      -0.00756829      -0.41887145       0.96142625       0.02956586       0.71709857 
      3.07489339       0.82385349       0.68404125      -0.00712413      -0.42903403       0.95310990       0.02965615       0.71709857 
      3.08989287       0.81734287       0.69827425      -0.00667866      -0.43899919       0.94471633       0.02973995       0.71709857 
      3.10489235       0.81068436       0.71238090      -0.00623199      -0.44876948       0.93625042       0.02981743       0.71709857 
      3.11989183       0.80388101       0.72636026      -0.00578420      -0.45834655       0.92771656       0.02988871       0.71709857 
      3.13489131       0.79693567       0.74021136      -0.00533539      -0.46773195       0.91911891       0.02995392       0.71709857 
      3.14989079       0.78985095       0.75393301      -0.00488564      -0.47692690       0.91046141       0.03001316       0.71709857 
      3.16489027       0.78262916       0.76752382      -0.00443506      -0.48593230       0.90174782       0.03006653       0.71709857 
      3.17988975       0.77527393       0.78098377      -0.00398371      -0.49475102       0.89298230       0.03011419       0.71709857 
      3.19488923       0.76778804       0.79431209      -0.00353169      -0.50338482       0.88416858       0.03015625       0.71709857 
      3.20988871       0.76017423       0.80750811      -0.00307908      -0.51183550       0.87531022       0.03019283       0.71709857 
      3.22488819       0.75243464       0.82057051      -0.00262597      -0.52010404       0.86641055       0.03022401       0.71709857 
      3.23988767       0.74457222       0.83349896      -0.00217242      -0.52819268       0.85747302       0.03024993       0.71709857 
      3.25488715       0.73659001       0.84629332      -0.00171852      -0.53610390       0.84850105       0.03027071       0.71709857 
      3.26988663       0.72849065       0.85895309      -0.00126435      -0.54383965       0.83949776       0.03028648       0.71709857 
      3.28488611       0.72027676       0.87147784      -0.00080999      -0.55140191       0.83046623       0.03029733       0.71709857 
      3.29988559       0.71195005       0.88386609      -0.00035549      -0.55879134       0.82140923       0.03030333       0.71709857 
      3.31488507       0.70351396       0.89611855       0.00009906      -0.56601133       0.81232982       0.03030463       0.71709857 
      3.32988455       0.69497101       0.90823489       0.00055359      -0.57306390       0.80323076       0.03030135       0.71709857 
      3.34488403       0.68632370       0.92021486       0.00100804      -0.57995112       0.79411471       0.03029358       0.71709857 
      3.35988351       0.67757420       0.93205783       0.00146235      -0.58667459       0.78498418       0.03028141       0.71709857 
      3.37488299       0.66872473       0.94376329       0.00191644      -0.59323602       0.77584167       0.03026493       0.71709857 
      3.38988247       0.65977820       0.95533178       0.00237025      -0.59963835       0.76668961       0.03024427       0.71709857 
      3.40488195       0.65073700       0.96676317       0.00282371      -0.60588362       0.75753032       0.03021953       0.71709857 
      3.41988143       0.64160343       0.97805737       0.00327678      -0.61197392       0.74836599       0.03019080       0.71709857 
      3.43488091       0.63237930       0.98921352       0.00372939      -0.61791044       0.73919876       0.03015815       0.71709857 
      3.44988039       0.62306723       1.00023210       0.00418147      -0.62369586       0.73003068       0.03012169       0.71709857 
      3.46487987       0.61366964       1.01111341       0.00463298      -0.62933255       0.72086376       0.03008152       0.71709857 
      3.47987935       0.60418876       1.02185748       0.00508387      -0.63482258       0.71169988       0.03003773       0.71709857 
      3.49487883       0.59462668       1.03246426       0.00553407      -0.64016787       0.70254085       0.02999040       0.71709857 
      3.50987831       0.58498508       1.04293294       0.00598353      -0.64536961       0.69338850       0.02993961       0.71709857 
      3.52487779       0.57526664       1.05326465       0.00643221      -0.65043083       0.68424445       0.02988544       0.71709857 
      3.53987727       0.56547346       1.06345951       0.00688005      -0.65535357       0.67511032       0.02982800       0.71709857 
      3.55487675       0.55560759       1.07351768       0.00732700      -0.66013983       0.66598765       0.02976737       0.71709857 
      3.56987623       0.54567080       1.08343885       0.00777303      -0.66479111       0.65687798       0.02970360       0.71709857 
      3.58487571       0.53566507       1.09322313       0.00821806      -0.66930932       0.64778274       0.02963677       0.71709857 
      3.59987519       0.52559267       1.10287134       0.00866208      -0.67369702       0.63870324       0.02956699       0.71709857 
      3.61487467       0.51545554       1.11238372       0.00910503      -0.67795613       0.62964077       0.02949431       0.71709857 
      3.62987415       0.50525557       1.12176053       0.00954687      -0.68208858       0.62059659       0.02941881       0.71709857 
      3.64487363       0.49499426       1.13100116       0.00998755      -0.68609545       0.61157201       0.02934056       0.71709857 
      3.65987311       0.48467382       1.14010665       0.01042703      -0.68997931       0.60256809       0.02925962       0.71709857 
      3.67487259       0.47429611       1.14907747       0.01086529      -0.69374219       0.59358586       0.02917607       0.71709857 
      3.68987207       0.46386296       1.15791396       0.01130228      -0.69738593       0.58462639       0.02908999       0.71709857 
      3.70487155       0.45337604       1.16661626       0.01173795      -0.70091217       0.57569067       0.02900142       0.71709857 
      3.71987103       0.44283686       1.17518408       0.01217228      -0.70432219       0.56677981       0.02891044       0.71709857 
      3.73487051       0.43224749       1.18361868       0.01260522      -0.70761851       0.55789451       0.02881711       0.71709857 
      3.74986999       0.42160958       1.19192042       0.01303675      -0.71080287       0.54903565       0.02872149       0.71709857 
      3.76486947       0.41092483       1.20008972       0.01346683      -0.71387703       0.54020405       0.02862364       0.71709857 
      3.77986895       0.40019465       1.20812637       0.01389542      -0.71684218       0.53140059       0.02852362       0.71709857 
      3.79486843       0.38942073       1.21603098       0.01432249      -0.71970019       0.52262599       0.02842148       0.71709857 
      3.80986791       0.37860482       1.22380442       0.01474802      -0.72245308       0.51388085       0.02831728       0.71709857 
      3.82486739       0.36774844       1.23144714       0.01517198      -0.72510251       0.50516582       0.02821108       0.71709857 
      3.83986687       0.35685318       1.23895959       0.01559432      -0.72765007       0.49648155       0.02810294       0.71709857 
      3.85486635       0.34592022       1.24634126       0.01601503      -0.73009663       0.48782884       0.02799288       0.71709857 
      3.86986583       0.33495137       1.25359355       0.01643406      -0.73244450       0.47920804       0.02788098       0.71709857 
      3.88486531       0.32394808       1.26071701       0.01685141      -0.73469526       0.47061967       0.02776729       0.71709857 
      3.89986479       0.31291182       1.26771210       0.01726705      -0.73685045       0.46206423       0.02765185       0.71709857 
      3.91486427       0.30184391       1.27457901       0.01768094      -0.73891132       0.45354227       0.02753471       0.71709857 
